word,row,col,page,identifier,is_dir,link,sim_score,accueil,5,5
nombre,4,1,default7,nombre@default7,NO,,0.38339764846309055
d,1,4,default7,d@default7,NO,,0.2831383955454092
vingtaine,2,4,default7,vingtaine@default7,NO,,0.3727371155798267
cheveu,2,3,default7,cheveu@default7,NO,,0.32949298633360014
euro,1,0,default7,euro@default7,NO,,0.3239015760246372
jungle,3,0,default7,jungle@default7,NO,,0.29452496007222795
malheur,1,2,default7,malheur@default7,NO,,0.34785889921530566
carbone,4,4,default7,carbone@default7,NO,,0.31195119282250716
enfance,3,1,default7,enfance@default7,NO,,0.3205720813522981
en-dessous,3,4,default7,en-dessous@default7,NO,,0.36501463833143877
sou,1,1,default7,sou@default7,NO,,0.3488651714442941
default85,4,1,default8,default85@default8,DIR,default85,0
essai,2,2,default8,essai@default8,NO,,0.4370753614396038
default46,1,4,default8,default46@default8,DIR,default46,0
reprise,1,0,default8,reprise@default8,NO,,0.4287700436757462
affiche,3,1,default8,affiche@default8,NO,,0.37728191173763426
exercice,2,0,default8,exercice@default8,NO,,0.4161961438541537
accord,0,0,default8,accord@default8,NO,,0.40402933024954213
ligne,1,1,default8,ligne@default8,NO,,0.3958635590446231
présentation,1,3,default8,présentation@default8,NO,,0.4312136750494564
demain,2,1,default8,demain@default8,NO,,0.40875105559609914
spécial,4,2,default8,spécial@default8,NO,,0.4041110736590132
default92,0,2,default8,default92@default8,DIR,default92,0
boumer,4,4,default8,boumer@default8,NO,,0.3978927479429618
bref,0,1,default8,bref@default8,NO,,0.41210876648993855
présent,2,3,default8,présent@default8,NO,,0.452771901420418
phrase,3,3,default8,phrase@default8,NO,,0.4131803245168737
début,3,2,default8,début@default8,NO,,0.4824429458797723
épisode,0,4,default8,épisode@default8,NO,,0.3921421136536495
occupé,3,4,default8,occupé@default8,NO,,0.37271772836548467
appel,3,0,default8,appel@default8,NO,,0.39839472146581945
partir,4,0,default8,partir@default8,NO,,0.40301848685881336
fin,2,4,default8,fin@default8,NO,,0.48152428597325536
romain,4,3,default8,romain@default8,NO,,0.3411452840996322
