word,row,col,page,identifier
culotte,6,15,accueil,culotte@accueil
prince,6,16,accueil,prince@accueil
bouche,6,17,accueil,bouche@accueil
découper,6,18,accueil,découper@accueil
miette,6,19,accueil,miette@accueil
promenade,6,20,accueil,promenade@accueil
prévenir,6,21,accueil,prévenir@accueil
participer,6,22,accueil,participer@accueil
violent,6,23,accueil,violent@accueil
gêner,6,24,accueil,gêner@accueil
rejouer,6,25,accueil,rejouer@accueil
chemin,6,26,accueil,chemin@accueil
donne,6,27,accueil,donne@accueil
pencher,6,28,accueil,pencher@accueil
bombarder,6,29,accueil,bombarder@accueil
noël,6,30,accueil,noël@accueil
ampoule,6,31,accueil,ampoule@accueil
chewing-gum,6,32,accueil,chewing-gum@accueil
pente,6,33,accueil,pente@accueil
sirop,6,34,accueil,sirop@accueil
tintin,6,35,accueil,tintin@accueil
soleil,6,36,accueil,soleil@accueil
pharmacie,6,37,accueil,pharmacie@accueil
panda,6,38,accueil,panda@accueil
pilou,6,39,accueil,pilou@accueil
carapace,6,40,accueil,carapace@accueil
cave,6,41,accueil,cave@accueil
supplier,6,42,accueil,supplier@accueil
difficile,7,0,accueil,difficile@accueil
prison,7,1,accueil,prison@accueil
paix,7,2,accueil,paix@accueil
connaissance,7,3,accueil,connaissance@accueil
fil,7,4,accueil,fil@accueil
blanc,7,5,accueil,blanc@accueil
lundi,7,6,accueil,lundi@accueil
part,7,7,accueil,part@accueil
argent,7,8,accueil,argent@accueil
rendez,7,9,accueil,rendez@accueil
beauté,7,10,accueil,beauté@accueil
survivre,7,11,accueil,survivre@accueil
moquer,7,12,accueil,moquer@accueil
ennemi,7,13,accueil,ennemi@accueil
prairie,7,14,accueil,prairie@accueil
crâne,7,15,accueil,crâne@accueil
jouir,7,16,accueil,jouir@accueil
violet,7,17,accueil,violet@accueil
natte,7,18,accueil,natte@accueil
perdre,7,19,accueil,perdre@accueil
vitesse,7,20,accueil,vitesse@accueil
tousser,7,21,accueil,tousser@accueil
coiffer,7,22,accueil,coiffer@accueil
salade,7,23,accueil,salade@accueil
ski,7,24,accueil,ski@accueil
tatata,7,25,accueil,tatata@accueil
bâton,7,26,accueil,bâton@accueil
calendrier,7,27,accueil,calendrier@accueil
dépendre,7,28,accueil,dépendre@accueil
retarder,7,29,accueil,retarder@accueil
auberge,7,30,accueil,auberge@accueil
bobo,7,31,accueil,bobo@accueil
coloriage,7,32,accueil,coloriage@accueil
