word,row,col,page,identifier
voiture,10,13,accueil,voiture@accueil
eter,10,14,accueil,eter@accueil
neuf,10,15,accueil,neuf@accueil
grand,10,16,accueil,grand@accueil
fort,10,17,accueil,fort@accueil
plat,10,18,accueil,plat@accueil
lilou,10,19,accueil,lilou@accueil
goûter,10,20,accueil,goûter@accueil
coincer,10,21,accueil,coincer@accueil
il(s,10,22,accueil,il(s@accueil
ici,10,23,accueil,ici@accueil
lécher,11,0,accueil,lécher@accueil
papier,11,1,accueil,papier@accueil
endormir,11,2,accueil,endormir@accueil
é-,11,3,accueil,é-@accueil
préparer,11,4,accueil,préparer@accueil
baguette,11,5,accueil,baguette@accueil
brrrr,11,6,accueil,brrrr@accueil
donne,11,7,accueil,donne@accueil
tard,11,8,accueil,tard@accueil
essaye,11,9,accueil,essaye@accueil
fille,11,10,accueil,fille@accueil
petit,11,11,accueil,petit@accueil
chercher,11,12,accueil,chercher@accueil
traverse,11,13,accueil,traverse@accueil
mmh,11,14,accueil,mmh@accueil
attendre,11,15,accueil,attendre@accueil
pler,11,16,accueil,pler@accueil
aime,11,17,accueil,aime@accueil
rue,11,18,accueil,rue@accueil
mozart,11,19,accueil,mozart@accueil
demain,11,20,accueil,demain@accueil
ami,11,21,accueil,ami@accueil
gronder,11,22,accueil,gronder@accueil
fenêtre,11,23,accueil,fenêtre@accueil
cuillère,12,0,accueil,cuillère@accueil
tabouret,12,1,accueil,tabouret@accueil
l-,12,2,accueil,l-@accueil
simple,12,3,accueil,simple@accueil
miaou,12,4,accueil,miaou@accueil
coussin,12,5,accueil,coussin@accueil
doucement,12,6,accueil,doucement@accueil
face,12,7,accueil,face@accueil
finir,12,8,accueil,finir@accueil
raconte,12,9,accueil,raconte@accueil
savoir,12,10,accueil,savoir@accueil
gueule,12,11,accueil,gueule@accueil
oh,12,12,accueil,oh@accueil
euh,12,13,accueil,euh@accueil
tchoupi,12,14,accueil,tchoupi@accueil
titre,12,15,accueil,titre@accueil
dollar,12,16,accueil,dollar@accueil
retourne,12,17,accueil,retourne@accueil
pardon,12,18,accueil,pardon@accueil
livre,12,19,accueil,livre@accueil
bah,12,20,accueil,bah@accueil
escalier,12,21,accueil,escalier@accueil
page,12,22,accueil,page@accueil
argent,12,23,accueil,argent@accueil
langue,13,0,accueil,langue@accueil
dur,13,1,accueil,dur@accueil
orage,13,2,accueil,orage@accueil
fermer,13,3,accueil,fermer@accueil
-là,13,4,accueil,-là@accueil
méchant,13,5,accueil,méchant@accueil
montre,13,6,accueil,montre@accueil
bonjour,13,7,accueil,bonjour@accueil
arrive,13,8,accueil,arrive@accueil
acheter,13,9,accueil,acheter@accueil
pain,13,10,accueil,pain@accueil
boite,13,11,accueil,boite@accueil
plein,13,12,accueil,plein@accueil
jouer,13,13,accueil,jouer@accueil
c-,13,14,accueil,c-@accueil
attention,13,15,accueil,attention@accueil
bout,13,16,accueil,bout@accueil
décorer,13,17,accueil,décorer@accueil
devoir,13,18,accueil,devoir@accueil
novembre,13,19,accueil,novembre@accueil
croire,13,20,accueil,croire@accueil
pot,13,21,accueil,pot@accueil
colorie,13,22,accueil,colorie@accueil
lèche,13,23,accueil,lèche@accueil
attraper,14,0,accueil,attraper@accueil
doudou,14,1,accueil,doudou@accueil
tonnerre,14,2,accueil,tonnerre@accueil
,14,3,accueil,@accueil
prochain,14,4,accueil,prochain@accueil
appeler,14,5,accueil,appeler@accueil
di,14,6,accueil,di@accueil
énerver,14,7,accueil,énerver@accueil
peur,14,8,accueil,peur@accueil
copain,14,9,accueil,copain@accueil
ouai,14,10,accueil,ouai@accueil
frère,14,11,accueil,frère@accueil
mange(nt)/quoi,14,12,accueil,mange(nt)/quoi@accueil
couverture,14,13,accueil,couverture@accueil
laisse,14,14,accueil,laisse@accueil
raison,14,15,accueil,raison@accueil
chien,14,16,accueil,chien@accueil
arrêter,14,17,accueil,arrêter@accueil
marche,14,18,accueil,marche@accueil
rose,14,19,accueil,rose@accueil
yacine,14,20,accueil,yacine@accueil
j-,14,21,accueil,j-@accueil
gentil,14,22,accueil,gentil@accueil
ressemble,14,23,accueil,ressemble@accueil
i(l,15,0,accueil,i(l@accueil
déjeuner,15,1,accueil,déjeuner@accueil
facile,15,2,accueil,facile@accueil
miroir,15,3,accueil,miroir@accueil
entendre,15,4,accueil,entendre@accueil
demande,15,5,accueil,demande@accueil
allonger,15,6,accueil,allonger@accueil
passer,15,7,accueil,passer@accueil
chose,15,8,accueil,chose@accueil
image,15,9,accueil,image@accueil
rentre,15,10,accueil,rentre@accueil
faire,15,11,accueil,faire@accueil
youpi,15,12,accueil,youpi@accueil
reracon-,15,13,accueil,reracon-@accueil
arriver,15,14,accueil,arriver@accueil
falloir,15,15,accueil,falloir@accueil
vouloir,15,16,accueil,vouloir@accueil
jardin,15,17,accueil,jardin@accueil
calme,15,18,accueil,calme@accueil
maison,15,19,accueil,maison@accueil
revoir,15,20,accueil,revoir@accueil
flac,15,21,accueil,flac@accueil
joli,15,22,accueil,joli@accueil
samber,15,23,accueil,samber@accueil
jamais,16,0,accueil,jamais@accueil
vite,16,1,accueil,vite@accueil
déranger,16,2,accueil,déranger@accueil
dernier,16,3,accueil,dernier@accueil
prend,16,4,accueil,prend@accueil
pareil,16,5,accueil,pareil@accueil
oiseau,16,6,accueil,oiseau@accueil
tac,16,7,accueil,tac@accueil
raconter,16,8,accueil,raconter@accueil
tout/,16,9,accueil,tout/@accueil
place,16,10,accueil,place@accueil
ouyouyouyouyou,16,11,accueil,ouyouyouyouyou@accueil
bêtise,16,12,accueil,bêtise@accueil
manger,16,13,accueil,manger@accueil
regarder,16,14,accueil,regarder@accueil
croco,16,15,accueil,croco@accueil
animal,16,16,accueil,animal@accueil
jaune,16,17,accueil,jaune@accueil
rassurer,16,18,accueil,rassurer@accueil
chut,16,19,accueil,chut@accueil
dame,16,20,accueil,dame@accueil
texte,16,21,accueil,texte@accueil
voiler,16,22,accueil,voiler@accueil
refaire,16,23,accueil,refaire@accueil
faim,17,0,accueil,faim@accueil
dessine,17,1,accueil,dessine@accueil
flamand,17,2,accueil,flamand@accueil
joue(nt,17,3,accueil,joue(nt@accueil
rappeler,17,4,accueil,rappeler@accueil
tresse,17,5,accueil,tresse@accueil
/toi,17,6,accueil,/toi@accueil
fois,17,7,accueil,fois@accueil
franklin,17,8,accueil,franklin@accueil
même/,17,9,accueil,même/@accueil
sortant,17,10,accueil,sortant@accueil
rentrer,17,11,accueil,rentrer@accueil
boulangerie,17,12,accueil,boulangerie@accueil
mange(nt,17,13,accueil,mange(nt@accueil
colorier,17,14,accueil,colorier@accueil
demi,17,15,accueil,demi@accueil
arthur,17,16,accueil,arthur@accueil
cd,17,17,accueil,cd@accueil
retraverse,17,18,accueil,retraverse@accueil
samba,17,19,accueil,samba@accueil
moment,17,20,accueil,moment@accueil
hum,17,21,accueil,hum@accueil
aimer,17,22,accueil,aimer@accueil
aujourd'hui,17,23,accueil,aujourd'hui@accueil
serpent,18,0,accueil,serpent@accueil
coiffe,18,1,accueil,coiffe@accueil
baignoire,18,2,accueil,baignoire@accueil
-ce,18,3,accueil,-ce@accueil
râle,18,4,accueil,râle@accueil
/mais,18,5,accueil,/mais@accueil
