word,row,col,page,identifier,is_dir,link,sim_score,Accueil,3,5
"(qqc de) nouveau, neuf",2,2,13A - ÉVÉNEMENTS PARTICULIERS,"(qqc de) nouveau, neuf0@13A - ÉVÉNEMENTS PARTICULIERS",NO,,0
13B - ÉVÉNEMENTS PARTICULIERS,3,2,13A - ÉVÉNEMENTS PARTICULIERS,tourner la page14@13A - ÉVÉNEMENTS PARTICULIERS,DIR,13B - ÉVÉNEMENTS PARTICULIERS,0
"je, moi, mon, le mien",0,0,21A - ANIMAUX,"je, moi, mon, le mien7@21A - ANIMAUX",NO,,0
aimer,1,0,21A - ANIMAUX,aimer1@21A - ANIMAUX,NO,,0
donner une tape,2,0,21A - ANIMAUX,donner une tape@21A - ANIMAUX,NO,,0
"[ajouter le nom des animaux que l'enfant est fréquemment amené à voir, ou des accessoires (gamelle, ...)]",3,0,21A - ANIMAUX,"[ajouter le nom des animaux que l'enfant est fréquemment amené à voir, ou des accessoires (gamelle, ...)]@21A - ANIMAUX",NO,,0
ne... pas / plus,0,1,21A - ANIMAUX,ne... pas / plus11@21A - ANIMAUX,NO,,0
jouer,1,1,21A - ANIMAUX,jouer3@21A - ANIMAUX,NO,,0
vétérinaire,2,1,21A - ANIMAUX,vétérinaire@21A - ANIMAUX,NO,,0
,3,1,21A - ANIMAUX,14@21A - ANIMAUX,NO,,0
oups,4,1,21A - ANIMAUX,oups59@21A - ANIMAUX,NO,,0
"regarder, voir",0,2,21A - ANIMAUX,"regarder, voir4@21A - ANIMAUX",NO,,0
"nourrir, donner à manger",1,2,21A - ANIMAUX,"nourrir, donner à manger@21A - ANIMAUX",NO,,0
animaux domestiques,2,2,21A - ANIMAUX,animaux domestiques@21A - ANIMAUX,NO,,0
21B - ANIMAUX,3,2,21A - ANIMAUX,tourner la page26@21A - ANIMAUX,DIR,21B - ANIMAUX,0
ne... pas / plus,0,0,22A - JOURS ET HEURE,ne... pas / plus12@22A - JOURS ET HEURE,NO,,0
hier,1,0,22A - JOURS ET HEURE,hier@22A - JOURS ET HEURE,NO,,0
jour,2,0,22A - JOURS ET HEURE,jour@22A - JOURS ET HEURE,NO,,0
nuit,3,0,22A - JOURS ET HEURE,nuit@22A - JOURS ET HEURE,NO,,0
maintenant,0,1,22A - JOURS ET HEURE,maintenant@22A - JOURS ET HEURE,NO,,0
aujourd'hui,1,1,22A - JOURS ET HEURE,aujourd'hui@22A - JOURS ET HEURE,NO,,0
matin,2,1,22A - JOURS ET HEURE,matin@22A - JOURS ET HEURE,NO,,0
bientôt,3,1,22A - JOURS ET HEURE,bientôt@22A - JOURS ET HEURE,NO,,0
oups,4,1,22A - JOURS ET HEURE,oups66@22A - JOURS ET HEURE,NO,,0
"plus tard, en retard",0,2,22A - JOURS ET HEURE,"plus tard, en retard@22A - JOURS ET HEURE",NO,,0
demain,1,2,22A - JOURS ET HEURE,demain@22A - JOURS ET HEURE,NO,,0
après-midi,2,2,22A - JOURS ET HEURE,après-midi@22A - JOURS ET HEURE,NO,,0
22B - JOURS ET HEURE,3,2,22A - JOURS ET HEURE,tourner la page29@22A - JOURS ET HEURE,DIR,22B - JOURS ET HEURE,0
ne... pas / plus,0,0,24A - DESCRIPTIONS,ne... pas / plus14@24A - DESCRIPTIONS,NO,,0
24C - COULEURS,1,0,24A - DESCRIPTIONS,couleurs@24A - DESCRIPTIONS,DIR,24C - COULEURS,0
24F - CHIFFRES,2,0,24A - DESCRIPTIONS,chiffres@24A - DESCRIPTIONS,DIR,24F - CHIFFRES,0
24J - VISUEL,3,0,24A - DESCRIPTIONS,"vue, visuel, je vois@24A - DESCRIPTIONS",DIR,24J - VISUEL,0
"même, pareil",0,1,24A - DESCRIPTIONS,"même, pareil@24A - DESCRIPTIONS",NO,,0
24D - FORME,1,1,24A - DESCRIPTIONS,forme@24A - DESCRIPTIONS,DIR,24D - FORME,0
24H - TOUCHER,2,1,24A - DESCRIPTIONS,"toucher, tactile@24A - DESCRIPTIONS",DIR,24H - TOUCHER,0
24K - MÉTÉO,3,1,24A - DESCRIPTIONS,météo@24A - DESCRIPTIONS,DIR,24K - MÉTÉO,0
oups,4,1,24A - DESCRIPTIONS,oups70@24A - DESCRIPTIONS,NO,,0
